"ACHOCOLATADO 300g",Matinais
"BOLACHA DOCE UN",Matinais
"BOLACHA SALGADA UN",Matinais
"LEITE 1LT",Matinais
"FARINHA DE TRIGO",Farinhas
"SABÃO EM PÓ 1kg/800g",Higiene
"LEITE EM PÓ 250/200g",Matinais
"AÇÚCAR 1kg",Básico
"ARROZ 5kg",Básico
"FEIJÃO",Básico
"MOLHO DE TOMATE 340g",Geral
"MACARRÃO 500g",Básico
"MIOJO",Geral
"CAFÉ 500g",Básico
"ÓLEO",Básico
"MILHO (enlatado)",Geral
"ERVILHA (enlatado)",Geral
"SARDINHA (enlatado)",Geral
"SAL",Básico
"FARINHA DE MILHO 500g",Farinhas
"FUBÁ 500g",Farinhas
"FARINHA DE MANDIOCA 500g",Farinhas
"DETERGENTE",Higiene
"ESCOVA DE DENTE",Higiene
"SABONETE",Higiene
"AGUA SANITÁRIA 1LT",Higiene
"TEMPERO",Geral
"CREME DENTAL",Higiene
"ARROZ 1kg",Básico
"LEITE EM PÓ 400g",Matinais
"LEITE EM PÓ 1kg",Matinais
"MACARRÃO 1kg",Básico
"MASSA P/ LASANHA",Geral
"PIMENTA",Geral
"GOIABADA",Geral
"GELATINA",Geral
"ABSORVENTE GRANDE",Higiene
"ABSORVENTE PEQUENO",Higiene
"MASSA P/ BOLO 400g",Geral
"BOLACHA PCT DOCE 400/300g",Matinais
"MAIONESE",Geral
"VINAGRE",Geral
"SOPA",Geral
"SUCO (saquinho)",Geral
"FAROFA 250g",Farinhas
"BIS",Diversos
"DOCE DE LEITE",Diversos
"AZEITONA",Geral
"SELETA DE LEGUMES",Geral
"PAPEL HIGIÊNICO C4",Higiene
"DESODORANTE",Higiene
"CHOCOTONE",Diversos
"PANETONE",Diversos
"POLENGUINHO",Diversos
"DADINHO",Diversos
"TORRADA",Matinais
"BOLO PRONTO",Matinais
"SUCO LITRO",Diversos
"PÃO DE MEL",Diversos
"UVA PASSAS / NOSES",Básico
"SHAMPOO/CONDICIONADOR",Básico
"CAFÉ 250g",Básico
"FUBÁ 1 Kg",Básico
"ATUM (lata)",Básico
"MILHO DE PIPOCA 500g",Básico
"DESINFETANTE 500/750/1LT",Básico
"BOLACHA PCT SALG 400/300g",Matinais
"MACARRÃO 200g",Básico
"LYSOFORME",Higiene
"SABÃO EM BARRA UND",Higiene
"AMACIANTE 500ml",Higiene
"PAPEL HIG 12/16",Higiene
"LIMPADOR MULT USO 500ml",Higiene
"ESPONJA DE LOUÇA 1UND",Higiene
"ACHOCOLATADO LIQ 200ml",Matinais
